scenario_id,domain,source_id,sender,information,allowed_recipient,disallowed_recipient,allowed_purpose,disallowed_purpose,semantic_label,semantic_reason
100034,finance,main72,human resources (HR) manager,upcoming job promotion details,accountant,insurance analyst,financial administration,product recommendation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100035,finance,main378,bank and branch managers,unsettled credit card policy change of the bank,accountant,loan officer,financial administration,fraud-model training,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100041,finance,main274,credit analyst,credit reports,accountant,insurance analyst,financial administration,product recommendation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100051,finance,main93,customer service representative,customer's recent transaction history,accountant,risk assessment team,financial administration,sales outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100086,finance,main45,human resources manager,employee salary details,accountant,marketing analyst,financial administration,risk assessment,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100117,finance,main202,accounting specialist,income salary,accountant,insurance analyst,financial administration,marketing segmentation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100134,finance,main25,financial advisor,current salary figure,accountant,marketing analyst,financial administration,product recommendation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100142,finance,main297,bank and branch managers,a surprisingly large deposit account balance,accountant,loan officer,financial administration,product recommendation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100160,finance,main314,credit analyst,financial data,accountant,loan officer,financial administration,product recommendation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100168,finance,main484,tax auditor,salary details (very high salary),accountant,insurance analyst,financial administration,fraud-model training,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100169,finance,main88,human resources representative,social security number,accountant,risk assessment team,financial administration,risk assessment,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100171,finance,main72,human resources (HR) manager,upcoming job promotion details,accountant,marketing analyst,financial administration,fraud-model training,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100174,finance,main314,credit analyst,financial data,accountant,marketing analyst,financial administration,product recommendation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100185,finance,main228,accounting specialist,financial investments,accountant,business partner,financial administration,fraud-model training,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100206,finance,main279,administrative assistant,secure account information,accountant,insurance analyst,financial administration,fraud-model training,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100208,finance,main93,customer service representative,customer's recent transaction history,accountant,employer,financial administration,sales outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100220,finance,main421,insurance agent,SSN,accountant,business partner,financial administration,fraud-model training,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100230,finance,main59,HR representative,employment verification and salary details for a loan application,accountant,loan officer,financial administration,product recommendation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100232,finance,main227,accounting specialist,wages and earnings,accountant,risk assessment team,financial administration,product recommendation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100260,finance,main72,human resources (HR) manager,upcoming job promotion details,accountant,marketing analyst,financial administration,marketing segmentation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100266,finance,main321,landlord,a copy of a mortgage title containing the name and address,accountant,risk assessment team,financial administration,risk assessment,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100267,finance,main202,accounting specialist,income salary,accountant,risk assessment team,financial administration,marketing segmentation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100279,finance,main378,bank and branch managers,unsettled credit card policy change of the bank,accountant,risk assessment team,financial administration,marketing segmentation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100290,finance,main484,tax auditor,salary details (very high salary),accountant,employer,financial administration,fraud-model training,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100355,finance,main274,credit analyst,credit reports,accountant,business partner,financial administration,product recommendation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100356,finance,main266,accounting specialist,confidential plan for the next quarter,accountant,business partner,financial administration,sales outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100367,finance,main297,bank and branch managers,a surprisingly large deposit account balance,accountant,business partner,financial administration,product recommendation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100391,finance,main49,customer service representative,disputed transaction details,accountant,business partner,financial administration,fraud-model training,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100394,finance,main72,human resources (HR) manager,upcoming job promotion details,accountant,risk assessment team,financial administration,product recommendation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100398,finance,main88,human resources representative,social security number,accountant,insurance analyst,financial administration,risk assessment,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100419,finance,main241,accounting specialist,income,accountant,insurance analyst,financial administration,product recommendation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100457,finance,main253,bank and branch managers,workplace address,accountant,employer,financial administration,fraud-model training,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100459,finance,main297,bank and branch managers,a surprisingly large deposit account balance,accountant,insurance analyst,financial administration,product recommendation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100460,finance,main25,financial advisor,current salary figure,accountant,employer,financial administration,product recommendation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100505,finance,main281,bank and branch managers,bank account balances,accountant,insurance analyst,financial administration,fraud-model training,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100520,finance,main216,administrative assistant,banking details,accountant,marketing analyst,financial administration,product recommendation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100525,finance,main216,administrative assistant,banking details,accountant,marketing analyst,financial administration,sales outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100537,finance,main421,insurance agent,SSN,accountant,business partner,financial administration,risk assessment,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100548,finance,main45,human resources manager,employee salary details,accountant,marketing analyst,financial administration,fraud-model training,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100555,finance,main88,human resources representative,social security number,accountant,risk assessment team,financial administration,product recommendation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100619,finance,main170,young adult,financial hardship,accountant,loan officer,financial administration,internal analytics,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100702,finance,main314,credit analyst,financial data,accountant,business partner,financial administration,fraud-model training,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100717,finance,main227,accounting specialist,wages and earnings,accountant,business partner,financial administration,product recommendation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100747,finance,main99,Human Resources manager,Social Security Number,accountant,risk assessment team,financial administration,risk assessment,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100791,finance,main170,young adult,financial hardship,accountant,business partner,financial administration,internal analytics,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100792,finance,main251,accounting specialist,profitability results related to Jane's company,accountant,marketing analyst,financial administration,fraud-model training,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100798,finance,main77,loan officer at the bank,a person's credit score and debt details,accountant,marketing analyst,financial administration,marketing segmentation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100831,finance,main251,accounting specialist,profitability results related to Jane's company,accountant,loan officer,financial administration,marketing segmentation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100850,finance,main423,credit analyst,SSN,accountant,risk assessment team,financial administration,fraud-model training,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100900,finance,main255,bank and branch managers,details of personal banking practices,accountant,marketing analyst,financial administration,sales outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100909,finance,main484,tax auditor,salary details (very high salary),accountant,marketing analyst,financial administration,risk assessment,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100919,finance,main255,bank and branch managers,details of personal banking practices,accountant,risk assessment team,financial administration,marketing segmentation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100921,finance,main184,bank representative,banking transaction details,accountant,insurance analyst,financial administration,product recommendation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100922,finance,main49,customer service representative,disputed transaction details,accountant,loan officer,financial administration,fraud-model training,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100927,finance,main253,bank and branch managers,workplace address,accountant,loan officer,financial administration,marketing segmentation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
100962,finance,main339,social worker,individual financial information,accountant,risk assessment team,financial administration,product recommendation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101109,finance,main227,accounting specialist,wages and earnings,accountant,loan officer,financial administration,product recommendation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101121,finance,main229,accounting specialist,financial information,accountant,business partner,financial administration,fraud-model training,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101156,finance,main297,bank and branch managers,a surprisingly large deposit account balance,accountant,risk assessment team,financial administration,sales outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101157,finance,main265,financial analyst,bank account balances and income,accountant,insurance analyst,financial administration,product recommendation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101269,finance,main254,bank and branch managers,salary information,accountant,employer,financial administration,risk assessment,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101311,finance,main314,credit analyst,financial data,accountant,business partner,financial administration,product recommendation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101397,finance,main274,credit analyst,credit reports,accountant,insurance analyst,financial administration,fraud-model training,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101502,finance,main184,bank representative,banking transaction details,accountant,loan officer,financial administration,sales outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101521,finance,main281,bank and branch managers,bank account balances,accountant,marketing analyst,financial administration,fraud-model training,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101554,mental_health,main6,therapist,detailed mental health issue,licensed psychiatrist,coworker,treatment support,community outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101559,mental_health,main306,music therapist,personal history,licensed psychiatrist,coworker,treatment support,community outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101582,mental_health,main114,individual's close family member,planned visit to the psychiatrist,licensed psychiatrist,research assistant,treatment support,training example,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101586,mental_health,main6,therapist,detailed mental health issue,licensed psychiatrist,program coordinator,treatment support,community outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101600,mental_health,main404,music therapist,work history,licensed psychiatrist,family member,treatment support,risk assessment,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101660,mental_health,main198,psychologist,A person's traumatic mugging experience,licensed psychiatrist,coworker,treatment support,training example,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101661,mental_health,main156,art therapist,art creations from therapy sessions associated with personal information,licensed psychiatrist,school counselor,treatment support,training example,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101666,mental_health,main442,alcohol & drug abuse assistance coordinator,past traumas mental health status,licensed psychiatrist,research assistant,treatment support,community outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101678,mental_health,main284,school psychologist,details of a student's counseling session (personal identifiers and detials of his school life),licensed psychiatrist,coworker,treatment support,program evaluation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101728,mental_health,main284,school psychologist,details of a student's counseling session (personal identifiers and detials of his school life),licensed psychiatrist,coworker,treatment support,community outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101736,mental_health,main223,alcohol & drug abuse assistance coordinator,secrets revealed in a private therapy session,licensed psychiatrist,research assistant,treatment support,community outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101749,mental_health,main3,therapist,personal traumatic experience,licensed psychiatrist,family member,treatment support,training example,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101755,mental_health,main364,community health nurse,medical records regarding mental health,licensed psychiatrist,family member,treatment support,training example,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101801,mental_health,main319,teenager,a secret of a traumatic experience,licensed psychiatrist,coworker,treatment support,training example,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101805,mental_health,main154,individual's partner,therapy appointment times,licensed psychiatrist,coworker,treatment support,training example,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101813,mental_health,main90,therapist,marital issues discussed with clergy,licensed psychiatrist,family member,treatment support,program evaluation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101822,mental_health,main442,alcohol & drug abuse assistance coordinator,past traumas mental health status,licensed psychiatrist,program coordinator,treatment support,community outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101839,mental_health,main113,one of the LGBT parents,a child's behavioral therapy sessions,licensed psychiatrist,family member,treatment support,training example,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101854,mental_health,main284,school psychologist,details of a student's counseling session (personal identifiers and detials of his school life),licensed psychiatrist,school counselor,treatment support,community outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101875,mental_health,main154,individual's partner,therapy appointment times,licensed psychiatrist,coworker,treatment support,program evaluation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101890,mental_health,main319,teenager,a secret of a traumatic experience,licensed psychiatrist,coworker,treatment support,community outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101901,mental_health,main156,art therapist,art creations from therapy sessions associated with personal information,licensed psychiatrist,family member,treatment support,training example,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101964,mental_health,main90,therapist,marital issues discussed with clergy,licensed psychiatrist,coworker,treatment support,program evaluation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101975,mental_health,main6,therapist,detailed mental health issue,licensed psychiatrist,school counselor,treatment support,community outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101979,mental_health,main3,therapist,personal traumatic experience,licensed psychiatrist,family member,treatment support,risk assessment,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101985,mental_health,main90,therapist,marital issues discussed with clergy,licensed psychiatrist,school counselor,treatment support,risk assessment,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
101997,mental_health,main223,alcohol & drug abuse assistance coordinator,secrets revealed in a private therapy session,licensed psychiatrist,coworker,treatment support,program evaluation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102010,mental_health,main223,alcohol & drug abuse assistance coordinator,secrets revealed in a private therapy session,licensed psychiatrist,research assistant,treatment support,risk assessment,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102046,mental_health,main153,art therapist,progress report of individuals in art therapy,licensed psychiatrist,family member,treatment support,community outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102064,mental_health,main223,alcohol & drug abuse assistance coordinator,secrets revealed in a private therapy session,licensed psychiatrist,program coordinator,treatment support,program evaluation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102092,mental_health,main285,school psychologist,details of a student's counseling session (personal identifiers and details of his family life),licensed psychiatrist,family member,treatment support,training example,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102112,mental_health,main114,individual's close family member,planned visit to the psychiatrist,licensed psychiatrist,program coordinator,treatment support,community outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102132,mental_health,main288,school psychologist,a conversation with a student about their mental health,licensed psychiatrist,coworker,treatment support,program evaluation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102141,mental_health,main35,therapist,Mental health therapy session notes,licensed psychiatrist,coworker,treatment support,risk assessment,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102146,mental_health,main142,individual's partner,therapy session recaps,licensed psychiatrist,program coordinator,treatment support,community outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102150,mental_health,main35,therapist,Mental health therapy session notes,licensed psychiatrist,coworker,treatment support,training example,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102183,mental_health,main142,individual's partner,therapy session recaps,licensed psychiatrist,research assistant,treatment support,community outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102187,mental_health,main156,art therapist,art creations from therapy sessions associated with personal information,licensed psychiatrist,school counselor,treatment support,program evaluation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102210,mental_health,main364,community health nurse,medical records regarding mental health,licensed psychiatrist,family member,treatment support,community outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102215,mental_health,main285,school psychologist,details of a student's counseling session (personal identifiers and details of his family life),licensed psychiatrist,research assistant,treatment support,training example,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102232,mental_health,main90,therapist,marital issues discussed with clergy,licensed psychiatrist,program coordinator,treatment support,training example,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102242,mental_health,main146,survivor's therapist,therapeutic details of a privacy assault survivor,licensed psychiatrist,school counselor,treatment support,program evaluation,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102269,mental_health,main84,accredited religious practitioner,addiction struggles,licensed psychiatrist,coworker,treatment support,training example,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102285,mental_health,main284,school psychologist,details of a student's counseling session (personal identifiers and detials of his school life),licensed psychiatrist,coworker,treatment support,training example,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102308,mental_health,main113,one of the LGBT parents,a child's behavioral therapy sessions,licensed psychiatrist,family member,treatment support,community outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102334,mental_health,main319,teenager,a secret of a traumatic experience,licensed psychiatrist,school counselor,treatment support,training example,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102360,mental_health,main288,school psychologist,a conversation with a student about their mental health,licensed psychiatrist,research assistant,treatment support,community outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102393,mental_health,main485,public health service officer,medical history,licensed psychiatrist,research assistant,treatment support,community outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102429,mental_health,main108,therapist,progress in recovery from substance use,licensed psychiatrist,family member,treatment support,community outreach,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102441,mental_health,main485,public health service officer,medical history,licensed psychiatrist,school counselor,treatment support,training example,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102470,mental_health,main198,psychologist,A person's traumatic mugging experience,licensed psychiatrist,family member,treatment support,training example,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102514,healthcare,main315,student,secret health information,treating clinician,insurance reviewer,care coordination,insurance risk scoring,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102540,healthcare,main315,student,secret health information,treating clinician,research coordinator,care coordination,insurance risk scoring,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102553,healthcare,main298,medical and public health social workers,STI screening results,treating clinician,family member,care coordination,research dataset,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102559,healthcare,main50,pediatrician,a child's health records,treating clinician,clinic administrator,care coordination,research dataset,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102560,healthcare,main34,nurse,Detailed personal health diagnosis,treating clinician,clinic administrator,care coordination,staff training,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102586,healthcare,main163,healthcare surrogate,medication schedule for an elderly relative,treating clinician,wellness coach,care coordination,research dataset,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102596,healthcare,main432,hospital nurse,diagnoses,treating clinician,wellness coach,care coordination,service improvement,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102600,healthcare,main486,athletic coach,an athlete's medical issues,treating clinician,clinic administrator,care coordination,research dataset,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102646,healthcare,main50,pediatrician,a child's health records,treating clinician,wellness coach,care coordination,service improvement,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102648,healthcare,main137,healthcare worker,HIV diagnosis and related medical details,treating clinician,medical trainee,care coordination,quality analytics,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102663,healthcare,main256,emergency medical technician,emergency treatment records,treating clinician,family member,care coordination,insurance risk scoring,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102704,healthcare,main46,medical administrative assistant,upcoming medical procedure dates,treating clinician,wellness coach,care coordination,quality analytics,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102734,healthcare,main159,individual in recovery,personal struggles with substance use disorder,treating clinician,medical trainee,care coordination,service improvement,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102761,healthcare,main483,public health service officer,medical history,treating clinician,family member,care coordination,quality analytics,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102770,healthcare,main203,alcohol & drug abuse assistance coordinator,medical records and the name of people,treating clinician,medical trainee,care coordination,insurance risk scoring,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102772,healthcare,main347,alcohol & drug abuse assistance coordinator,personal story with identifiable information,treating clinician,family member,care coordination,research dataset,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102777,healthcare,main197,doctor,The sex of the baby discovered during an ultrasound (unknown by the mother yet),treating clinician,wellness coach,care coordination,research dataset,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102782,healthcare,main301,accounting specialist,medical information,treating clinician,family member,care coordination,insurance risk scoring,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102789,healthcare,main483,public health service officer,medical history,treating clinician,family member,care coordination,insurance risk scoring,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102794,healthcare,main197,doctor,The sex of the baby discovered during an ultrasound (unknown by the mother yet),treating clinician,insurance reviewer,care coordination,research dataset,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102820,healthcare,main71,human resources manager,medical condition,treating clinician,research coordinator,care coordination,staff training,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102823,healthcare,main197,doctor,The sex of the baby discovered during an ultrasound (unknown by the mother yet),treating clinician,clinic administrator,care coordination,insurance risk scoring,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102833,healthcare,main448,medical and public health social workers,details on a recent illness,treating clinician,insurance reviewer,care coordination,staff training,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102844,healthcare,main96,teacher,A student's medical condition,treating clinician,insurance reviewer,care coordination,research dataset,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102852,healthcare,main160,prospective LGBT parent,medical information regarding family planning for an LGBT couple,treating clinician,wellness coach,care coordination,staff training,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102946,healthcare,main455,athletic coach,medical information,treating clinician,family member,care coordination,service improvement,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102969,healthcare,main189,adult's caregiver,medical appointment outcomes,treating clinician,clinic administrator,care coordination,research dataset,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102993,healthcare,main121,healthcare professional,personal medication,treating clinician,medical trainee,care coordination,quality analytics,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
102996,healthcare,main160,prospective LGBT parent,medical information regarding family planning for an LGBT couple,treating clinician,wellness coach,care coordination,insurance risk scoring,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
103037,healthcare,main163,healthcare surrogate,medication schedule for an elderly relative,treating clinician,insurance reviewer,care coordination,research dataset,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
103047,healthcare,main121,healthcare professional,personal medication,treating clinician,wellness coach,care coordination,staff training,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
103070,healthcare,main163,healthcare surrogate,medication schedule for an elderly relative,treating clinician,clinic administrator,care coordination,service improvement,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
103074,healthcare,main481,medical and public health social workers,health diagnoses and prescription medications,treating clinician,wellness coach,care coordination,quality analytics,good,A/B/C/D contrast is semantically plausible on a quick manual pass.
