component,layer,mode,alpha,control_type,n,normal_margin_mean,intervened_margin_mean,delta_toward_yes_mean,no_to_yes_flips,no_to_yes_flip_rate
attn,0,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6578947368421053,0.000986842105263158,1,0.010526315789473684
attn,0,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,0,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.655921052631579,0.0029605263157894738,1,0.010526315789473684
attn,0,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,0,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6575657894736842,0.0013157894736842105,1,0.010526315789473684
attn,0,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,1,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.656578947368421,0.002302631578947368,1,0.010526315789473684
attn,1,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,1,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6555921052631579,0.003289473684210526,1,0.010526315789473684
attn,1,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,1,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,1,0.010526315789473684
attn,1,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,2,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,2,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6542763157894737,0.004605263157894736,1,0.010526315789473684
attn,2,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,2,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6526315789473685,0.00625,1,0.010526315789473684
attn,2,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,2,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6539473684210526,0.004934210526315789,1,0.010526315789473684
attn,3,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6575657894736842,0.0013157894736842105,1,0.010526315789473684
attn,3,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6526315789473685,0.00625,1,0.010526315789473684
attn,3,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6546052631578947,0.0042763157894736845,1,0.010526315789473684
attn,3,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6516447368421052,0.007236842105263158,1,0.010526315789473684
attn,3,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6536184210526316,0.005263157894736842,1,0.010526315789473684
attn,3,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6486842105263158,0.010197368421052632,1,0.010526315789473684
attn,4,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.65625,0.002631578947368421,0,0.0
attn,4,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6585526315789474,0.0003289473684210526,1,0.010526315789473684
attn,4,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,1,0.010526315789473684
attn,4,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.656578947368421,0.002302631578947368,1,0.010526315789473684
attn,4,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.65625,0.002631578947368421,0,0.0
attn,4,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6569078947368421,0.001973684210526316,0,0.0
attn,5,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6585526315789474,0.0003289473684210526,0,0.0
attn,5,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,5,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6592105263157895,-0.0003289473684210526,0,0.0
attn,5,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,5,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,5,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,6,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,6,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6490131578947368,0.009868421052631578,1,0.010526315789473684
attn,6,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,6,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6490131578947368,0.009868421052631578,2,0.021052631578947368
attn,6,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,6,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6440789473684211,0.014802631578947368,1,0.010526315789473684
attn,7,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.65625,0.002631578947368421,0,0.0
attn,7,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6375,0.02138157894736842,3,0.031578947368421054
attn,7,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6552631578947369,0.003618421052631579,1,0.010526315789473684
attn,7,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6197368421052631,0.03914473684210526,5,0.05263157894736842
attn,7,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6552631578947369,0.003618421052631579,1,0.010526315789473684
attn,7,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6016447368421053,0.057236842105263155,5,0.05263157894736842
attn,8,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6546052631578947,0.0042763157894736845,1,0.010526315789473684
attn,8,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,8,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6516447368421052,0.007236842105263158,1,0.010526315789473684
attn,8,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,8,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6539473684210526,0.004934210526315789,1,0.010526315789473684
attn,8,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,9,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6585526315789474,0.0003289473684210526,0,0.0
attn,9,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6404605263157894,0.018421052631578946,2,0.021052631578947368
attn,9,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6592105263157895,-0.0003289473684210526,0,0.0
attn,9,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6292763157894737,0.029605263157894735,3,0.031578947368421054
attn,9,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6585526315789474,0.0003289473684210526,0,0.0
attn,9,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6157894736842106,0.0430921052631579,5,0.05263157894736842
attn,10,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,10,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6519736842105263,0.006907894736842105,1,0.010526315789473684
attn,10,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,10,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6509868421052631,0.007894736842105263,2,0.021052631578947368
attn,10,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,10,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6486842105263158,0.010197368421052632,1,0.010526315789473684
attn,11,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6582236842105263,0.0006578947368421052,0,0.0
attn,11,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6335526315789474,0.02532894736842105,1,0.010526315789473684
attn,11,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6552631578947369,0.003618421052631579,0,0.0
attn,11,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6085526315789473,0.05032894736842105,5,0.05263157894736842
attn,11,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6582236842105263,0.0006578947368421052,0,0.0
attn,11,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.5861842105263158,0.07269736842105264,5,0.05263157894736842
attn,12,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6595394736842105,-0.0006578947368421052,0,0.0
attn,12,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,12,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6592105263157895,-0.0003289473684210526,0,0.0
attn,12,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6585526315789474,0.0003289473684210526,0,0.0
attn,12,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,12,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6585526315789474,0.0003289473684210526,0,0.0
attn,13,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6513157894736842,0.007565789473684211,1,0.010526315789473684
attn,13,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6338815789473684,0.025,3,0.031578947368421054
attn,13,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6470394736842106,0.011842105263157895,3,0.031578947368421054
attn,13,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6144736842105263,0.044407894736842105,5,0.05263157894736842
attn,13,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6394736842105263,0.019407894736842107,3,0.031578947368421054
attn,13,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.5930921052631579,0.06578947368421052,5,0.05263157894736842
attn,14,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6578947368421053,0.000986842105263158,1,0.010526315789473684
attn,14,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6305921052631579,0.028289473684210528,3,0.031578947368421054
attn,14,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6575657894736842,0.0013157894736842105,1,0.010526315789473684
attn,14,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6046052631578948,0.054276315789473686,5,0.05263157894736842
attn,14,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6585526315789474,0.0003289473684210526,1,0.010526315789473684
attn,14,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.5789473684210527,0.07993421052631579,6,0.06315789473684211
attn,15,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,15,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.655921052631579,0.0029605263157894738,0,0.0
attn,15,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,15,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6549342105263158,0.003947368421052632,0,0.0
attn,15,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,15,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6539473684210526,0.004934210526315789,0,0.0
attn,16,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6552631578947369,0.003618421052631579,1,0.010526315789473684
attn,16,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6414473684210527,0.017434210526315788,0,0.0
attn,16,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.65625,0.002631578947368421,1,0.010526315789473684
attn,16,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6226973684210526,0.03618421052631579,3,0.031578947368421054
attn,16,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.655921052631579,0.0029605263157894738,0,0.0
attn,16,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6085526315789473,0.05032894736842105,4,0.042105263157894736
attn,17,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6486842105263158,0.010197368421052632,1,0.010526315789473684
attn,17,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6322368421052632,0.026644736842105263,3,0.031578947368421054
attn,17,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6421052631578947,0.016776315789473684,3,0.031578947368421054
attn,17,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6072368421052632,0.051644736842105264,3,0.031578947368421054
attn,17,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6348684210526315,0.02401315789473684,2,0.021052631578947368
attn,17,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.5858552631578947,0.07302631578947369,4,0.042105263157894736
attn,18,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6582236842105263,0.0006578947368421052,1,0.010526315789473684
attn,18,remove_positive,0.5,real_direction,95,-0.6588815789473684,0.4398026315789474,1.0986842105263157,82,0.8631578947368421
attn,18,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6592105263157895,-0.0003289473684210526,1,0.010526315789473684
attn,18,remove_positive,1.0,real_direction,95,-0.6588815789473684,1.6763157894736842,2.3351973684210527,93,0.9789473684210527
attn,18,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6625,-0.003618421052631579,1,0.010526315789473684
attn,18,remove_positive,1.5,real_direction,95,-0.6588815789473684,3.0595394736842105,3.718421052631579,95,1.0
attn,19,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6595394736842105,-0.0006578947368421052,0,0.0
attn,19,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6006578947368421,0.058223684210526316,4,0.042105263157894736
attn,19,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6592105263157895,-0.0003289473684210526,0,0.0
attn,19,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.5467105263157894,0.11217105263157895,7,0.07368421052631578
attn,19,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6585526315789474,0.0003289473684210526,0,0.0
attn,19,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.4911184210526316,0.16776315789473684,9,0.09473684210526316
attn,20,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,20,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.4611842105263158,0.19769736842105262,13,0.1368421052631579
attn,20,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,20,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.2618421052631579,0.39703947368421055,36,0.37894736842105264
attn,20,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,20,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.05263157894736842,0.60625,54,0.5684210526315789
attn,21,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6529605263157895,0.0059210526315789476,1,0.010526315789473684
attn,21,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.4911184210526316,0.16776315789473684,12,0.12631578947368421
attn,21,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6516447368421052,0.007236842105263158,1,0.010526315789473684
attn,21,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.3213815789473684,0.3375,29,0.30526315789473685
attn,21,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6523026315789474,0.006578947368421052,1,0.010526315789473684
attn,21,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.1355263157894737,0.5233552631578947,48,0.5052631578947369
attn,22,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6575657894736842,0.0013157894736842105,0,0.0
attn,22,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,22,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6578947368421053,0.000986842105263158,0,0.0
attn,22,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,22,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6578947368421053,0.000986842105263158,0,0.0
attn,22,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,23,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,23,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,23,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,23,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,23,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,23,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,24,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6585526315789474,0.0003289473684210526,0,0.0
attn,24,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,24,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6585526315789474,0.0003289473684210526,0,0.0
attn,24,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,24,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6592105263157895,-0.0003289473684210526,0,0.0
attn,24,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,25,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,25,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6305921052631579,0.028289473684210528,3,0.031578947368421054
attn,25,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,25,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6072368421052632,0.051644736842105264,5,0.05263157894736842
attn,25,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,25,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.5782894736842106,0.0805921052631579,5,0.05263157894736842
attn,26,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,26,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,26,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,26,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,26,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,26,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,27,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6569078947368421,0.001973684210526316,1,0.010526315789473684
attn,27,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,27,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6569078947368421,0.001973684210526316,1,0.010526315789473684
attn,27,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,27,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.65625,0.002631578947368421,1,0.010526315789473684
attn,27,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
mlp,0,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
mlp,0,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
mlp,0,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
mlp,0,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
mlp,0,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
