selection_name,layer,k,alpha,intervention,random_delta_toward_no_mean,random_yes_to_no_flip_rate_mean,random_patched_no_rate_mean
layerwise_ci_top_delta_steer,22,500,3.0,add_CI_D_minus_A_neuron_delta,-0.007017543859649145,0.08070175438596491,0.08070175438596491
layerwise_ci_top_delta_steer,23,1,0.25,add_CI_D_minus_A_neuron_delta,0.0009868421052631577,0.0,0.0
layerwise_ci_top_delta_steer,23,1,0.5,add_CI_D_minus_A_neuron_delta,0.0032894736842105257,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,23,1,1.0,add_CI_D_minus_A_neuron_delta,0.012719298245614035,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,23,1,1.5,add_CI_D_minus_A_neuron_delta,0.02006578947368421,0.010526315789473684,0.010526315789473684
layerwise_ci_top_delta_steer,23,1,2.0,add_CI_D_minus_A_neuron_delta,0.02730263157894737,0.010526315789473684,0.010526315789473684
layerwise_ci_top_delta_steer,23,1,3.0,add_CI_D_minus_A_neuron_delta,0.042763157894736836,0.017543859649122806,0.017543859649122806
layerwise_ci_top_delta_steer,23,5,0.25,add_CI_D_minus_A_neuron_delta,-0.0020833333333333333,0.0,0.0
layerwise_ci_top_delta_steer,23,5,0.5,add_CI_D_minus_A_neuron_delta,-0.0027412280701754384,0.0,0.0
layerwise_ci_top_delta_steer,23,5,1.0,add_CI_D_minus_A_neuron_delta,-0.003947368421052632,0.0,0.0
layerwise_ci_top_delta_steer,23,5,1.5,add_CI_D_minus_A_neuron_delta,-0.003837719298245614,0.0,0.0
layerwise_ci_top_delta_steer,23,5,2.0,add_CI_D_minus_A_neuron_delta,-0.0042763157894736845,0.0,0.0
layerwise_ci_top_delta_steer,23,5,3.0,add_CI_D_minus_A_neuron_delta,-0.004166666666666667,0.0,0.0
layerwise_ci_top_delta_steer,23,10,0.25,add_CI_D_minus_A_neuron_delta,-0.0037280701754385964,0.0,0.0
layerwise_ci_top_delta_steer,23,10,0.5,add_CI_D_minus_A_neuron_delta,-0.0043859649122807015,0.0,0.0
layerwise_ci_top_delta_steer,23,10,1.0,add_CI_D_minus_A_neuron_delta,-0.004605263157894737,0.0,0.0
layerwise_ci_top_delta_steer,23,10,1.5,add_CI_D_minus_A_neuron_delta,-0.006469298245614034,0.0,0.0
layerwise_ci_top_delta_steer,23,10,2.0,add_CI_D_minus_A_neuron_delta,-0.008552631578947369,0.0,0.0
layerwise_ci_top_delta_steer,23,10,3.0,add_CI_D_minus_A_neuron_delta,-0.01074561403508772,0.0,0.0
layerwise_ci_top_delta_steer,23,20,0.25,add_CI_D_minus_A_neuron_delta,-0.0035087719298245615,0.0,0.0
layerwise_ci_top_delta_steer,23,20,0.5,add_CI_D_minus_A_neuron_delta,-0.0017543859649122807,0.0,0.0
layerwise_ci_top_delta_steer,23,20,1.0,add_CI_D_minus_A_neuron_delta,-0.0007675438596491229,0.0,0.0
layerwise_ci_top_delta_steer,23,20,1.5,add_CI_D_minus_A_neuron_delta,-0.0003289473684210526,0.0,0.0
layerwise_ci_top_delta_steer,23,20,2.0,add_CI_D_minus_A_neuron_delta,0.0008771929824561404,0.0,0.0
layerwise_ci_top_delta_steer,23,20,3.0,add_CI_D_minus_A_neuron_delta,0.0028508771929824563,0.0,0.0
layerwise_ci_top_delta_steer,23,50,0.25,add_CI_D_minus_A_neuron_delta,-0.0014254385964912282,0.0,0.0
layerwise_ci_top_delta_steer,23,50,0.5,add_CI_D_minus_A_neuron_delta,-0.004605263157894737,0.0,0.0
layerwise_ci_top_delta_steer,23,50,1.0,add_CI_D_minus_A_neuron_delta,-0.005482456140350878,0.0,0.0
layerwise_ci_top_delta_steer,23,50,1.5,add_CI_D_minus_A_neuron_delta,-0.005153508771929824,0.0,0.0
layerwise_ci_top_delta_steer,23,50,2.0,add_CI_D_minus_A_neuron_delta,-0.006798245614035088,0.0,0.0
layerwise_ci_top_delta_steer,23,50,3.0,add_CI_D_minus_A_neuron_delta,-0.008333333333333333,0.0,0.0
layerwise_ci_top_delta_steer,23,100,0.25,add_CI_D_minus_A_neuron_delta,-0.008223684210526315,0.0,0.0
layerwise_ci_top_delta_steer,23,100,0.5,add_CI_D_minus_A_neuron_delta,-0.01469298245614035,0.0,0.0
layerwise_ci_top_delta_steer,23,100,1.0,add_CI_D_minus_A_neuron_delta,-0.026535087719298245,0.0,0.0
layerwise_ci_top_delta_steer,23,100,1.5,add_CI_D_minus_A_neuron_delta,-0.03848684210526316,0.0,0.0
layerwise_ci_top_delta_steer,23,100,2.0,add_CI_D_minus_A_neuron_delta,-0.051535087719298246,0.0,0.0
layerwise_ci_top_delta_steer,23,100,3.0,add_CI_D_minus_A_neuron_delta,-0.07357456140350876,0.0,0.0
layerwise_ci_top_delta_steer,23,200,0.25,add_CI_D_minus_A_neuron_delta,-0.0042763157894736845,0.0,0.0
layerwise_ci_top_delta_steer,23,200,0.5,add_CI_D_minus_A_neuron_delta,-0.006140350877192982,0.0,0.0
layerwise_ci_top_delta_steer,23,200,1.0,add_CI_D_minus_A_neuron_delta,-0.011732456140350877,0.0,0.0
layerwise_ci_top_delta_steer,23,200,1.5,add_CI_D_minus_A_neuron_delta,-0.013486842105263158,0.0,0.0
layerwise_ci_top_delta_steer,23,200,2.0,add_CI_D_minus_A_neuron_delta,-0.01929824561403509,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,23,200,3.0,add_CI_D_minus_A_neuron_delta,-0.02839912280701754,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,23,500,0.25,add_CI_D_minus_A_neuron_delta,0.009978070175438596,0.0,0.0
layerwise_ci_top_delta_steer,23,500,0.5,add_CI_D_minus_A_neuron_delta,0.02543859649122807,0.007017543859649123,0.007017543859649123
layerwise_ci_top_delta_steer,23,500,1.0,add_CI_D_minus_A_neuron_delta,0.051535087719298246,0.017543859649122806,0.017543859649122806
layerwise_ci_top_delta_steer,23,500,1.5,add_CI_D_minus_A_neuron_delta,0.0787280701754386,0.05964912280701754,0.05964912280701754
layerwise_ci_top_delta_steer,23,500,2.0,add_CI_D_minus_A_neuron_delta,0.10635964912280703,0.0631578947368421,0.0631578947368421
layerwise_ci_top_delta_steer,23,500,3.0,add_CI_D_minus_A_neuron_delta,0.15778508771929825,0.10175438596491228,0.10175438596491228
layerwise_ci_top_delta_steer,26,1,0.25,add_CI_D_minus_A_neuron_delta,-0.001425438596491228,0.0,0.0
layerwise_ci_top_delta_steer,26,1,0.5,add_CI_D_minus_A_neuron_delta,-0.0020833333333333333,0.0,0.0
layerwise_ci_top_delta_steer,26,1,1.0,add_CI_D_minus_A_neuron_delta,-0.0019736842105263154,0.0,0.0
layerwise_ci_top_delta_steer,26,1,1.5,add_CI_D_minus_A_neuron_delta,-0.0027412280701754384,0.0,0.0
layerwise_ci_top_delta_steer,26,1,2.0,add_CI_D_minus_A_neuron_delta,-0.0007675438596491227,0.0,0.0
layerwise_ci_top_delta_steer,26,1,3.0,add_CI_D_minus_A_neuron_delta,-0.0010964912280701756,0.0,0.0
layerwise_ci_top_delta_steer,26,5,0.25,add_CI_D_minus_A_neuron_delta,-0.0018640350877192982,0.0,0.0
layerwise_ci_top_delta_steer,26,5,0.5,add_CI_D_minus_A_neuron_delta,-0.0018640350877192982,0.0,0.0
layerwise_ci_top_delta_steer,26,5,1.0,add_CI_D_minus_A_neuron_delta,-0.001425438596491228,0.0,0.0
layerwise_ci_top_delta_steer,26,5,1.5,add_CI_D_minus_A_neuron_delta,-0.0015350877192982458,0.0,0.0
layerwise_ci_top_delta_steer,26,5,2.0,add_CI_D_minus_A_neuron_delta,-0.0015350877192982458,0.0,0.0
layerwise_ci_top_delta_steer,26,5,3.0,add_CI_D_minus_A_neuron_delta,-0.0004385964912280701,0.0,0.0
layerwise_ci_top_delta_steer,26,10,0.25,add_CI_D_minus_A_neuron_delta,-0.0021929824561403508,0.0,0.0
layerwise_ci_top_delta_steer,26,10,0.5,add_CI_D_minus_A_neuron_delta,-0.0017543859649122807,0.0,0.0
layerwise_ci_top_delta_steer,26,10,1.0,add_CI_D_minus_A_neuron_delta,-0.0017543859649122807,0.0,0.0
layerwise_ci_top_delta_steer,26,10,1.5,add_CI_D_minus_A_neuron_delta,-0.0017543859649122807,0.0,0.0
layerwise_ci_top_delta_steer,26,10,2.0,add_CI_D_minus_A_neuron_delta,-0.0010964912280701754,0.0,0.0
layerwise_ci_top_delta_steer,26,10,3.0,add_CI_D_minus_A_neuron_delta,-0.0021929824561403508,0.0,0.0
layerwise_ci_top_delta_steer,26,20,0.25,add_CI_D_minus_A_neuron_delta,-0.0013157894736842105,0.0,0.0
layerwise_ci_top_delta_steer,26,20,0.5,add_CI_D_minus_A_neuron_delta,-0.0012061403508771928,0.0,0.0
layerwise_ci_top_delta_steer,26,20,1.0,add_CI_D_minus_A_neuron_delta,-0.0003289473684210528,0.0,0.0
layerwise_ci_top_delta_steer,26,20,1.5,add_CI_D_minus_A_neuron_delta,0.0010964912280701754,0.0,0.0
layerwise_ci_top_delta_steer,26,20,2.0,add_CI_D_minus_A_neuron_delta,0.0008771929824561402,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,26,20,3.0,add_CI_D_minus_A_neuron_delta,0.003508771929824562,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,26,50,0.25,add_CI_D_minus_A_neuron_delta,0.0005482456140350877,0.0,0.0
layerwise_ci_top_delta_steer,26,50,0.5,add_CI_D_minus_A_neuron_delta,0.004934210526315789,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,26,50,1.0,add_CI_D_minus_A_neuron_delta,0.010964912280701754,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,26,50,1.5,add_CI_D_minus_A_neuron_delta,0.01918859649122807,0.010526315789473684,0.010526315789473684
layerwise_ci_top_delta_steer,26,50,2.0,add_CI_D_minus_A_neuron_delta,0.025109649122807016,0.010526315789473684,0.010526315789473684
layerwise_ci_top_delta_steer,26,50,3.0,add_CI_D_minus_A_neuron_delta,0.03980263157894737,0.024561403508771926,0.024561403508771926
layerwise_ci_top_delta_steer,26,100,0.25,add_CI_D_minus_A_neuron_delta,-0.0013157894736842105,0.0,0.0
layerwise_ci_top_delta_steer,26,100,0.5,add_CI_D_minus_A_neuron_delta,0.0010964912280701756,0.0,0.0
layerwise_ci_top_delta_steer,26,100,1.0,add_CI_D_minus_A_neuron_delta,0.005263157894736842,0.0,0.0
layerwise_ci_top_delta_steer,26,100,1.5,add_CI_D_minus_A_neuron_delta,0.009978070175438598,0.0,0.0
layerwise_ci_top_delta_steer,26,100,2.0,add_CI_D_minus_A_neuron_delta,0.014144736842105264,0.0,0.0
layerwise_ci_top_delta_steer,26,100,3.0,add_CI_D_minus_A_neuron_delta,0.019956140350877193,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,26,200,0.25,add_CI_D_minus_A_neuron_delta,-0.003837719298245614,0.0,0.0
layerwise_ci_top_delta_steer,26,200,0.5,add_CI_D_minus_A_neuron_delta,-0.005482456140350877,0.0,0.0
layerwise_ci_top_delta_steer,26,200,1.0,add_CI_D_minus_A_neuron_delta,-0.007456140350877193,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,26,200,1.5,add_CI_D_minus_A_neuron_delta,-0.008333333333333333,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,26,200,2.0,add_CI_D_minus_A_neuron_delta,-0.011293859649122806,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,26,200,3.0,add_CI_D_minus_A_neuron_delta,-0.01392543859649123,0.007017543859649123,0.007017543859649123
layerwise_ci_top_delta_steer,26,500,0.25,add_CI_D_minus_A_neuron_delta,0.004934210526315789,0.0,0.0
layerwise_ci_top_delta_steer,26,500,0.5,add_CI_D_minus_A_neuron_delta,0.013706140350877192,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,26,500,1.0,add_CI_D_minus_A_neuron_delta,0.030043859649122807,0.017543859649122806,0.017543859649122806
layerwise_ci_top_delta_steer,26,500,1.5,add_CI_D_minus_A_neuron_delta,0.04627192982456141,0.021052631578947368,0.021052631578947368
layerwise_ci_top_delta_steer,26,500,2.0,add_CI_D_minus_A_neuron_delta,0.060526315789473685,0.028070175438596492,0.028070175438596492
layerwise_ci_top_delta_steer,26,500,3.0,add_CI_D_minus_A_neuron_delta,0.09133771929824559,0.06315789473684211,0.06315789473684211
layerwise_ci_top_delta_steer,27,1,0.25,add_CI_D_minus_A_neuron_delta,-0.004605263157894737,0.0,0.0
layerwise_ci_top_delta_steer,27,1,0.5,add_CI_D_minus_A_neuron_delta,-0.009210526315789473,0.0,0.0
layerwise_ci_top_delta_steer,27,1,1.0,add_CI_D_minus_A_neuron_delta,-0.01524122807017544,0.0,0.0
layerwise_ci_top_delta_steer,27,1,1.5,add_CI_D_minus_A_neuron_delta,-0.02236842105263158,0.0,0.0
layerwise_ci_top_delta_steer,27,1,2.0,add_CI_D_minus_A_neuron_delta,-0.028289473684210528,0.0,0.0
layerwise_ci_top_delta_steer,27,1,3.0,add_CI_D_minus_A_neuron_delta,-0.04199561403508772,0.0,0.0
layerwise_ci_top_delta_steer,27,5,0.25,add_CI_D_minus_A_neuron_delta,-0.000986842105263158,0.0,0.0
layerwise_ci_top_delta_steer,27,5,0.5,add_CI_D_minus_A_neuron_delta,-0.0007675438596491229,0.0,0.0
layerwise_ci_top_delta_steer,27,5,1.0,add_CI_D_minus_A_neuron_delta,-0.00021929824561403504,0.0,0.0
layerwise_ci_top_delta_steer,27,5,1.5,add_CI_D_minus_A_neuron_delta,0.0005482456140350877,0.0,0.0
layerwise_ci_top_delta_steer,27,5,2.0,add_CI_D_minus_A_neuron_delta,-0.00043859649122807024,0.0,0.0
layerwise_ci_top_delta_steer,27,5,3.0,add_CI_D_minus_A_neuron_delta,-0.0006578947368421052,0.0,0.0
layerwise_ci_top_delta_steer,27,10,0.25,add_CI_D_minus_A_neuron_delta,-0.0004385964912280702,0.0,0.0
layerwise_ci_top_delta_steer,27,10,0.5,add_CI_D_minus_A_neuron_delta,0.0004385964912280701,0.0,0.0
layerwise_ci_top_delta_steer,27,10,1.0,add_CI_D_minus_A_neuron_delta,0.003947368421052631,0.0,0.0
layerwise_ci_top_delta_steer,27,10,1.5,add_CI_D_minus_A_neuron_delta,0.006140350877192982,0.0,0.0
layerwise_ci_top_delta_steer,27,10,2.0,add_CI_D_minus_A_neuron_delta,0.008991228070175439,0.0,0.0
layerwise_ci_top_delta_steer,27,10,3.0,add_CI_D_minus_A_neuron_delta,0.01469298245614035,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,27,20,0.25,add_CI_D_minus_A_neuron_delta,0.001973684210526316,0.0,0.0
layerwise_ci_top_delta_steer,27,20,0.5,add_CI_D_minus_A_neuron_delta,0.004166666666666667,0.0,0.0
layerwise_ci_top_delta_steer,27,20,1.0,add_CI_D_minus_A_neuron_delta,0.010855263157894738,0.0,0.0
layerwise_ci_top_delta_steer,27,20,1.5,add_CI_D_minus_A_neuron_delta,0.01875,0.0,0.0
layerwise_ci_top_delta_steer,27,20,2.0,add_CI_D_minus_A_neuron_delta,0.027192982456140352,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,27,20,3.0,add_CI_D_minus_A_neuron_delta,0.042105263157894736,0.014035087719298246,0.014035087719298246
layerwise_ci_top_delta_steer,27,50,0.25,add_CI_D_minus_A_neuron_delta,0.00010964912280701752,0.0,0.0
layerwise_ci_top_delta_steer,27,50,0.5,add_CI_D_minus_A_neuron_delta,-0.00021929824561403512,0.0,0.0
layerwise_ci_top_delta_steer,27,50,1.0,add_CI_D_minus_A_neuron_delta,0.0010964912280701756,0.0,0.0
layerwise_ci_top_delta_steer,27,50,1.5,add_CI_D_minus_A_neuron_delta,0.0021929824561403508,0.0,0.0
layerwise_ci_top_delta_steer,27,50,2.0,add_CI_D_minus_A_neuron_delta,0.004824561403508772,0.0,0.0
layerwise_ci_top_delta_steer,27,50,3.0,add_CI_D_minus_A_neuron_delta,0.008991228070175439,0.0,0.0
layerwise_ci_top_delta_steer,27,100,0.25,add_CI_D_minus_A_neuron_delta,-0.002631578947368421,0.0,0.0
layerwise_ci_top_delta_steer,27,100,0.5,add_CI_D_minus_A_neuron_delta,-0.0016447368421052628,0.0,0.0
layerwise_ci_top_delta_steer,27,100,1.0,add_CI_D_minus_A_neuron_delta,-0.00010964912280701788,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,27,100,1.5,add_CI_D_minus_A_neuron_delta,0.000657894736842105,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,27,100,2.0,add_CI_D_minus_A_neuron_delta,0.003728070175438594,0.010526315789473684,0.010526315789473684
layerwise_ci_top_delta_steer,27,100,3.0,add_CI_D_minus_A_neuron_delta,0.004824561403508773,0.010526315789473684,0.010526315789473684
layerwise_ci_top_delta_steer,27,200,0.25,add_CI_D_minus_A_neuron_delta,0.0024122807017543852,0.0,0.0
layerwise_ci_top_delta_steer,27,200,0.5,add_CI_D_minus_A_neuron_delta,0.005592105263157894,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,27,200,1.0,add_CI_D_minus_A_neuron_delta,0.013815789473684207,0.010526315789473684,0.010526315789473684
layerwise_ci_top_delta_steer,27,200,1.5,add_CI_D_minus_A_neuron_delta,0.021710526315789475,0.017543859649122806,0.017543859649122806
layerwise_ci_top_delta_steer,27,200,2.0,add_CI_D_minus_A_neuron_delta,0.031140350877192986,0.021052631578947368,0.021052631578947368
layerwise_ci_top_delta_steer,27,200,3.0,add_CI_D_minus_A_neuron_delta,0.04906798245614036,0.0631578947368421,0.0631578947368421
layerwise_ci_top_delta_steer,27,500,0.25,add_CI_D_minus_A_neuron_delta,-0.04287280701754386,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,27,500,0.5,add_CI_D_minus_A_neuron_delta,-0.08103070175438597,0.014035087719298246,0.014035087719298246
layerwise_ci_top_delta_steer,27,500,1.0,add_CI_D_minus_A_neuron_delta,-0.1588267543859649,0.021052631578947368,0.021052631578947368
layerwise_ci_top_delta_steer,27,500,1.5,add_CI_D_minus_A_neuron_delta,-0.23700657894736843,0.0736842105263158,0.0736842105263158
layerwise_ci_top_delta_steer,27,500,2.0,add_CI_D_minus_A_neuron_delta,-0.3176535087719298,0.10877192982456141,0.10877192982456141
layerwise_ci_top_delta_steer,27,500,3.0,add_CI_D_minus_A_neuron_delta,-0.47203947368421056,0.17192982456140352,0.17192982456140352
