selection_name,layer,k,alpha,control_type,n,normal_margin_mean,patched_margin_mean,delta_toward_no_mean,delta_toward_no_median,yes_to_no_flips,yes_to_no_flip_rate,patched_no_count,patched_no_rate,normal_yes_rate,num_layers_patched,num_neurons_patched
global_multilayer_ci_top,multi,100,1.0,ci_top_neurons,95,0.7651315789473684,-0.22763157894736843,0.9927631578947368,0.90625,66,0.6947368421052632,66,0.6947368421052632,1.0,5,100
global_multilayer_ci_top,multi,200,1.0,ci_top_neurons,95,0.7651315789473684,-0.1986842105263158,0.9638157894736842,0.875,62,0.6526315789473685,62,0.6526315789473685,1.0,5,200
global_multilayer_ci_top,multi,50,1.0,ci_top_neurons,95,0.7651315789473684,-0.11085526315789473,0.8759868421052631,0.8125,62,0.6526315789473685,62,0.6526315789473685,1.0,5,50
global_multilayer_ci_top,multi,20,1.0,ci_top_neurons,95,0.7651315789473684,0.033223684210526315,0.7319078947368421,0.65625,51,0.5368421052631579,51,0.5368421052631579,1.0,5,20
global_multilayer_ci_top,multi,10,1.0,ci_top_neurons,95,0.7651315789473684,0.08092105263157895,0.6842105263157895,0.625,47,0.49473684210526314,47,0.49473684210526314,1.0,4,10
layerwise_ci_top,20,200,1.0,ci_top_neurons,95,0.7651315789473684,0.10756578947368421,0.6575657894736842,0.625,46,0.4842105263157895,46,0.4842105263157895,1.0,1,200
layerwise_ci_top,20,500,1.0,ci_top_neurons,95,0.7651315789473684,0.08157894736842106,0.6835526315789474,0.625,45,0.47368421052631576,45,0.47368421052631576,1.0,1,500
global_multilayer_ci_top,multi,500,1.0,ci_top_neurons,95,0.7651315789473684,0.06381578947368421,0.7013157894736842,0.625,40,0.42105263157894735,40,0.42105263157894735,1.0,5,500
global_multilayer_ci_top,multi,5,1.0,ci_top_neurons,95,0.7651315789473684,0.19605263157894737,0.569078947368421,0.53125,34,0.35789473684210527,34,0.35789473684210527,1.0,2,5
layerwise_ci_top,20,100,1.0,ci_top_neurons,95,0.7651315789473684,0.19473684210526315,0.5703947368421053,0.53125,33,0.3473684210526316,33,0.3473684210526316,1.0,1,100
layerwise_ci_top,22,500,1.0,ci_top_neurons,95,0.7651315789473684,0.2338815789473684,0.53125,0.46875,29,0.30526315789473685,29,0.30526315789473685,1.0,1,500
layerwise_ci_top,22,200,1.0,ci_top_neurons,95,0.7651315789473684,0.25526315789473686,0.5098684210526315,0.4375,27,0.28421052631578947,27,0.28421052631578947,1.0,1,200
layerwise_ci_top,20,50,1.0,ci_top_neurons,95,0.7651315789473684,0.2769736842105263,0.4881578947368421,0.46875,26,0.2736842105263158,26,0.2736842105263158,1.0,1,50
layerwise_ci_top,22,100,1.0,ci_top_neurons,95,0.7651315789473684,0.2723684210526316,0.49276315789473685,0.4375,25,0.2631578947368421,25,0.2631578947368421,1.0,1,100
layerwise_ci_top,22,20,1.0,ci_top_neurons,95,0.7651315789473684,0.3118421052631579,0.4532894736842105,0.40625,25,0.2631578947368421,25,0.2631578947368421,1.0,1,20
layerwise_ci_top,22,5,1.0,ci_top_neurons,95,0.7651315789473684,0.3414473684210526,0.4236842105263158,0.375,24,0.25263157894736843,24,0.25263157894736843,1.0,1,5
layerwise_ci_top,22,50,1.0,ci_top_neurons,95,0.7651315789473684,0.2967105263157895,0.46842105263157896,0.40625,23,0.24210526315789474,23,0.24210526315789474,1.0,1,50
layerwise_ci_top,22,10,1.0,ci_top_neurons,95,0.7651315789473684,0.3401315789473684,0.425,0.375,22,0.23157894736842105,22,0.23157894736842105,1.0,1,10
layerwise_ci_top,23,500,1.0,ci_top_neurons,95,0.7651315789473684,0.3200657894736842,0.4450657894736842,0.40625,19,0.2,19,0.2,1.0,1,500
layerwise_ci_top,23,200,1.0,ci_top_neurons,95,0.7651315789473684,0.34539473684210525,0.41973684210526313,0.375,19,0.2,19,0.2,1.0,1,200
layerwise_ci_top,23,100,1.0,ci_top_neurons,95,0.7651315789473684,0.35888157894736844,0.40625,0.375,19,0.2,19,0.2,1.0,1,100
layerwise_ci_top,23,50,1.0,ci_top_neurons,95,0.7651315789473684,0.37335526315789475,0.3917763157894737,0.34375,17,0.17894736842105263,17,0.17894736842105263,1.0,1,50
layerwise_ci_top,23,10,1.0,ci_top_neurons,95,0.7651315789473684,0.38026315789473686,0.3848684210526316,0.34375,17,0.17894736842105263,17,0.17894736842105263,1.0,1,10
layerwise_ci_top,23,20,1.0,ci_top_neurons,95,0.7651315789473684,0.3875,0.37763157894736843,0.34375,17,0.17894736842105263,17,0.17894736842105263,1.0,1,20
global_multilayer_ci_top,multi,1,1.0,ci_top_neurons,95,0.7651315789473684,0.4019736842105263,0.3631578947368421,0.3125,15,0.15789473684210525,15,0.15789473684210525,1.0,1,1
layerwise_ci_top,22,1,1.0,ci_top_neurons,95,0.7651315789473684,0.4019736842105263,0.3631578947368421,0.3125,15,0.15789473684210525,15,0.15789473684210525,1.0,1,1
layerwise_ci_top,20,10,1.0,ci_top_neurons,95,0.7651315789473684,0.4125,0.3526315789473684,0.34375,15,0.15789473684210525,15,0.15789473684210525,1.0,1,10
layerwise_ci_top,20,20,1.0,ci_top_neurons,95,0.7651315789473684,0.40098684210526314,0.36414473684210524,0.34375,14,0.14736842105263157,14,0.14736842105263157,1.0,1,20
layerwise_ci_top,22,20,1.0,random_neurons_0,95,0.7651315789473684,0.40361842105263157,0.36151315789473687,0.3125,14,0.14736842105263157,14,0.14736842105263157,1.0,1,20
layerwise_ci_top,23,5,1.0,ci_top_neurons,95,0.7651315789473684,0.42138157894736844,0.34375,0.3125,14,0.14736842105263157,14,0.14736842105263157,1.0,1,5
layerwise_ci_top,22,200,1.0,random_neurons_2,95,0.7651315789473684,0.40032894736842106,0.3648026315789474,0.3125,13,0.1368421052631579,13,0.1368421052631579,1.0,1,200
layerwise_ci_top,26,200,1.0,ci_top_neurons,95,0.7651315789473684,0.5671052631578948,0.1980263157894737,0.1875,5,0.05263157894736842,5,0.05263157894736842,1.0,1,200
layerwise_ci_top,20,5,1.0,ci_top_neurons,95,0.7651315789473684,0.5855263157894737,0.17960526315789474,0.15625,5,0.05263157894736842,5,0.05263157894736842,1.0,1,5
layerwise_ci_top,26,100,1.0,ci_top_neurons,95,0.7651315789473684,0.5851973684210526,0.17993421052631578,0.1875,4,0.042105263157894736,4,0.042105263157894736,1.0,1,100
layerwise_ci_top,26,50,1.0,ci_top_neurons,95,0.7651315789473684,0.5944078947368421,0.1707236842105263,0.15625,4,0.042105263157894736,4,0.042105263157894736,1.0,1,50
layerwise_ci_top,26,500,1.0,ci_top_neurons,95,0.7651315789473684,0.5980263157894737,0.16710526315789473,0.15625,4,0.042105263157894736,4,0.042105263157894736,1.0,1,500
layerwise_ci_top,26,500,1.0,random_neurons_1,95,0.7651315789473684,0.6111842105263158,0.15394736842105264,0.15625,3,0.031578947368421054,3,0.031578947368421054,1.0,1,500
layerwise_ci_top,26,20,1.0,ci_top_neurons,95,0.7651315789473684,0.6167763157894737,0.14835526315789474,0.125,3,0.031578947368421054,3,0.031578947368421054,1.0,1,20
layerwise_ci_top,26,10,1.0,ci_top_neurons,95,0.7651315789473684,0.6197368421052631,0.14539473684210527,0.125,3,0.031578947368421054,3,0.031578947368421054,1.0,1,10
layerwise_ci_top,26,5,1.0,ci_top_neurons,95,0.7651315789473684,0.625328947368421,0.13980263157894737,0.125,3,0.031578947368421054,3,0.031578947368421054,1.0,1,5
layerwise_ci_top,27,50,1.0,ci_top_neurons,95,0.7651315789473684,0.7016447368421053,0.06348684210526316,0.0625,2,0.021052631578947368,2,0.021052631578947368,1.0,1,50
layerwise_ci_top,27,200,1.0,ci_top_neurons,95,0.7651315789473684,0.7171052631578947,0.04802631578947368,0.03125,1,0.010526315789473684,1,0.010526315789473684,1.0,1,200
layerwise_ci_top,27,200,1.0,random_neurons_1,95,0.7651315789473684,0.7263157894736842,0.03881578947368421,0.03125,1,0.010526315789473684,1,0.010526315789473684,1.0,1,200
layerwise_ci_top,20,500,1.0,random_neurons_1,95,0.7651315789473684,0.73125,0.03388157894736842,0.03125,1,0.010526315789473684,1,0.010526315789473684,1.0,1,500
layerwise_ci_top,23,1,1.0,ci_top_neurons,95,0.7651315789473684,0.7328947368421053,0.03223684210526316,0.03125,1,0.010526315789473684,1,0.010526315789473684,1.0,1,1
layerwise_ci_top,27,100,1.0,ci_top_neurons,95,0.7651315789473684,0.7457236842105263,0.019407894736842107,0.03125,1,0.010526315789473684,1,0.010526315789473684,1.0,1,100
layerwise_ci_top,27,100,1.0,random_neurons_2,95,0.7651315789473684,0.74375,0.02138157894736842,0.03125,0,0.0,0,0.0,1.0,1,100
layerwise_ci_top,27,20,1.0,ci_top_neurons,95,0.7651315789473684,0.7513157894736842,0.01381578947368421,0.0,0,0.0,0,0.0,1.0,1,20
global_multilayer_ci_top,multi,500,1.0,random_neurons_1,95,0.7651315789473684,0.7526315789473684,0.0125,0.0,0,0.0,0,0.0,1.0,5,500
layerwise_ci_top,22,500,1.0,random_neurons_2,95,0.7651315789473684,0.7549342105263158,0.010197368421052632,0.0,0,0.0,0,0.0,1.0,1,500
global_multilayer_ci_top,multi,500,1.0,random_neurons_2,95,0.7651315789473684,0.7559210526315789,0.009210526315789473,0.0,0,0.0,0,0.0,1.0,5,500
layerwise_ci_top,20,50,1.0,random_neurons_2,95,0.7651315789473684,0.7601973684210527,0.004934210526315789,0.0,0,0.0,0,0.0,1.0,1,50
layerwise_ci_top,23,500,1.0,random_neurons_1,95,0.7651315789473684,0.7605263157894737,0.004605263157894736,0.0,0,0.0,0,0.0,1.0,1,500
layerwise_ci_top,22,200,1.0,random_neurons_1,95,0.7651315789473684,0.7608552631578948,0.0042763157894736845,0.0,0,0.0,0,0.0,1.0,1,200
global_multilayer_ci_top,multi,100,1.0,random_neurons_2,95,0.7651315789473684,0.7621710526315789,0.0029605263157894738,0.0,0,0.0,0,0.0,1.0,5,100
layerwise_ci_top,20,200,1.0,random_neurons_0,95,0.7651315789473684,0.7625,0.002631578947368421,0.0,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top,26,200,1.0,random_neurons_1,95,0.7651315789473684,0.7628289473684211,0.002302631578947368,0.0,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top,20,50,1.0,random_neurons_1,95,0.7651315789473684,0.7631578947368421,0.001973684210526316,0.0,0,0.0,0,0.0,1.0,1,50
layerwise_ci_top,22,100,1.0,random_neurons_2,95,0.7651315789473684,0.7634868421052632,0.001644736842105263,0.0,0,0.0,0,0.0,1.0,1,100
layerwise_ci_top,26,100,1.0,random_neurons_0,95,0.7651315789473684,0.7641447368421053,0.000986842105263158,0.0,0,0.0,0,0.0,1.0,1,100
layerwise_ci_top,26,5,1.0,random_neurons_2,95,0.7651315789473684,0.7644736842105263,0.0006578947368421052,0.0,0,0.0,0,0.0,1.0,1,5
layerwise_ci_top,22,5,1.0,random_neurons_1,95,0.7651315789473684,0.7648026315789473,0.0003289473684210526,0.0,0,0.0,0,0.0,1.0,1,5
layerwise_ci_top,23,100,1.0,random_neurons_2,95,0.7651315789473684,0.7648026315789473,0.0003289473684210526,0.0,0,0.0,0,0.0,1.0,1,100
layerwise_ci_top,27,1,1.0,random_neurons_1,95,0.7651315789473684,0.7648026315789473,0.0003289473684210526,0.0,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top,27,5,1.0,random_neurons_0,95,0.7651315789473684,0.7648026315789473,0.0003289473684210526,0.0,0,0.0,0,0.0,1.0,1,5
global_multilayer_ci_top,multi,50,1.0,random_neurons_2,95,0.7651315789473684,0.7651315789473684,0.0,0.0,0,0.0,0,0.0,1.0,5,50
layerwise_ci_top,22,200,1.0,random_neurons_0,95,0.7651315789473684,0.7651315789473684,0.0,0.0,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top,23,20,1.0,random_neurons_1,95,0.7651315789473684,0.7651315789473684,0.0,0.0,0,0.0,0,0.0,1.0,1,20
layerwise_ci_top,26,5,1.0,random_neurons_0,95,0.7651315789473684,0.7651315789473684,0.0,0.0,0,0.0,0,0.0,1.0,1,5
layerwise_ci_top,27,1,1.0,random_neurons_0,95,0.7651315789473684,0.7651315789473684,0.0,0.0,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top,27,1,1.0,random_neurons_2,95,0.7651315789473684,0.7651315789473684,0.0,0.0,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top,27,5,1.0,random_neurons_2,95,0.7651315789473684,0.7651315789473684,0.0,0.0,0,0.0,0,0.0,1.0,1,5
layerwise_ci_top,27,10,1.0,random_neurons_1,95,0.7651315789473684,0.7651315789473684,0.0,0.0,0,0.0,0,0.0,1.0,1,10
layerwise_ci_top,27,200,1.0,random_neurons_0,95,0.7651315789473684,0.7651315789473684,0.0,0.0,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top,22,50,1.0,random_neurons_0,95,0.7651315789473684,0.7654605263157894,-0.0003289473684210526,0.0,0,0.0,0,0.0,1.0,1,50
layerwise_ci_top,26,1,1.0,ci_top_neurons,95,0.7651315789473684,0.7654605263157894,-0.0003289473684210526,0.0,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top,26,500,1.0,random_neurons_0,95,0.7651315789473684,0.7654605263157894,-0.0003289473684210526,0.0,0,0.0,0,0.0,1.0,1,500
layerwise_ci_top,27,10,1.0,random_neurons_0,95,0.7651315789473684,0.7654605263157894,-0.0003289473684210526,0.0,0,0.0,0,0.0,1.0,1,10
global_multilayer_ci_top,multi,1,1.0,random_neurons_0,95,0.7651315789473684,0.7657894736842106,-0.0006578947368421052,0.0,0,0.0,0,0.0,1.0,1,1
global_multilayer_ci_top,multi,200,1.0,random_neurons_0,95,0.7651315789473684,0.7657894736842106,-0.0006578947368421052,0.0,0,0.0,0,0.0,1.0,5,200
layerwise_ci_top,20,20,1.0,random_neurons_0,95,0.7651315789473684,0.7657894736842106,-0.0006578947368421052,0.0,0,0.0,0,0.0,1.0,1,20
layerwise_ci_top,20,500,1.0,random_neurons_2,95,0.7651315789473684,0.7657894736842106,-0.0006578947368421052,0.0,0,0.0,0,0.0,1.0,1,500
layerwise_ci_top,27,5,1.0,random_neurons_1,95,0.7651315789473684,0.7657894736842106,-0.0006578947368421052,0.0,0,0.0,0,0.0,1.0,1,5
layerwise_ci_top,27,10,1.0,random_neurons_2,95,0.7651315789473684,0.7657894736842106,-0.0006578947368421052,0.0,0,0.0,0,0.0,1.0,1,10
global_multilayer_ci_top,multi,20,1.0,random_neurons_0,95,0.7651315789473684,0.7661184210526316,-0.000986842105263158,0.0,0,0.0,0,0.0,1.0,5,20
layerwise_ci_top,20,20,1.0,random_neurons_2,95,0.7651315789473684,0.7661184210526316,-0.000986842105263158,0.0,0,0.0,0,0.0,1.0,1,20
layerwise_ci_top,20,50,1.0,random_neurons_0,95,0.7651315789473684,0.7661184210526316,-0.000986842105263158,0.0,0,0.0,0,0.0,1.0,1,50
layerwise_ci_top,23,1,1.0,random_neurons_1,95,0.7651315789473684,0.7661184210526316,-0.000986842105263158,0.0,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top,23,10,1.0,random_neurons_0,95,0.7651315789473684,0.7661184210526316,-0.000986842105263158,0.0,0,0.0,0,0.0,1.0,1,10
layerwise_ci_top,26,1,1.0,random_neurons_2,95,0.7651315789473684,0.7661184210526316,-0.000986842105263158,0.0,0,0.0,0,0.0,1.0,1,1
